Number of employees,Is your employer a tech company?,Does your medical coverage include treatment of mental health?,Do you currently have a mental health disorder?,Do you know the options for mental health care available under your employer-provided health coverage?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,What is your age?,What is your gender?,What country do you work in?,What is your race?,Is your primary role within your company related to tech/IT?,Do you believe your productivity is ever affected by a mental health issue?,How well do you think the tech industry supports employees with mental health issues?,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other
6-25,Yes,No,No,Yes,No,Yes,Yes,46.0,Male,United Kingdom,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
500-1000,Yes,No,Yes,Yes,Yes,Yes,Yes,45.0,Female,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,No,Possibly,No,No,No,I don't know,25.0,Male,Bangladesh,No Answer,No,Yes,3.0,No,No,No,No,No,No,No,No,No,No,No,Yes,No
More than 1000,No,No,Yes,No,Yes,Yes,Yes,38.0,Female,United States of America,More than one of the above,Yes,No,1.0,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes
26-100,Yes,No,No,Yes,No,No,No,41.0,Male,United States of America,White,Yes,No,5.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,37.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
26-100,Yes,No,No,No,No,No,No,33.0,Female,United States of America,I prefer not to answer,Yes,No,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,28.0,Other,United States of America,White,Yes,No,3.0,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,34.0,Female,United States of America,White,No,Yes,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,29.0,Female,Canada,No Answer,No,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
500-1000,No,No,Yes,Yes,Yes,Yes,Yes,28.0,Female,United States of America,White,Yes,No,3.0,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,41.0,Male,Australia,No Answer,No,Yes,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,No,Yes,Possibly,Yes,38.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,Possibly,Yes,37.0,Male,Netherlands,No Answer,No,Yes,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,No,No,No,Yes,No,Possibly,No,42.0,Male,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
